"","x","y","TagId","freq","num_x","num_y","total","unique_nodes","easting","northing","id","total_nodes","avex","avey","zone","letter","date","time_of_day","hour"
"187",-81.3590285370987,27.1993378175766,"6134074B",2019-12-11 17:20:00,-208723.068193251,-1352068.02514663,-0.449406290333143,3,464440.6668369,3008731.33360354,"6134074B 2019-12-11 17:20:00",3,464441.803959899,3008564.97612515,17,"R","2019-12-11","17:20:00",17
"188",-81.35902566,27.19905817,"6134074B",2019-12-11 17:30:00,-122634.985320618,-794397.41203371,-0.26404800872886,1,464442.000191516,3008534.00053262,"6134074B 2019-12-11 17:30:00",1,464442.000191516,3008534.00053262,17,"R","2019-12-11","17:30:00",17
"189",-81.35902566,27.19905817,"6134074B",2019-12-11 17:40:00,-206569.557590054,-1338103.65390811,-0.444769330734243,1,464442.000191516,3008534.00053262,"6134074B 2019-12-11 17:40:00",1,464442.000191516,3008534.00053262,17,"R","2019-12-11","17:40:00",17
"190",-81.35902566,27.19905817,"6134074B",2019-12-11 17:50:00,-4994.00000205931,-32349.8279627164,-0.010752688172043,1,464442.000191516,3008534.00053262,"6134074B 2019-12-11 17:50:00",1,464442.000191516,3008534.00053262,17,"R","2019-12-11","17:50:00",17
"191",-81.3533294896898,27.1969264684789,"61526633",2019-12-10 15:00:00,-1028791.31353219,-6655639.89301445,-2.21242832076816,9,465017.777762693,3008241.11115474,"61526633 2019-12-10 15:00:00",9,465005.489160882,3008296.28265814,17,"R","2019-12-10","15:00:00",15
"192",-81.3534069038141,27.1966087259615,"61526633",2019-12-10 15:10:00,-1391155.11789945,-8999953.40947922,-2.99174608866321,17,464922.352974243,3008259.41189762,"61526633 2019-12-10 15:10:00",17,464997.7226246,3008261.10998632,17,"R","2019-12-10","15:10:00",15
"193",-81.353153314227,27.1960856981345,"61526633",2019-12-10 15:20:00,-1793749.63434936,-11603656.1320408,-3.85733799217866,21,465049.952409159,3008291.85726278,"61526633 2019-12-10 15:20:00",21,465022.675738155,3008203.10679775,17,"R","2019-12-10","15:20:00",15
"194",-81.3531090356709,27.1963887413309,"61526633",2019-12-10 15:30:00,-462405.352299737,-2991276.34914425,-0.994362042170663,20,464960.000015261,3008270.00010922,"61526633 2019-12-10 15:30:00",20,465027.155793598,3008236.66057725,17,"R","2019-12-10","15:30:00",15
"195",-81.3539459495937,27.1965276373733,"61526633",2019-12-10 15:40:00,-1536993.99407027,-9944558.09268955,-3.30575934813249,25,464976.360031135,3008321.96008944,"61526633 2019-12-10 15:40:00",25,464944.308465333,3008252.27895294,17,"R","2019-12-10","15:40:00",15
"196",-81.3535631113228,27.1963471956322,"61526633",2019-12-10 15:50:00,-822236.504818433,-5319512.18664224,-1.76831835392444,21,465059.476204372,3008291.85722779,"61526633 2019-12-10 15:50:00",21,464982.169637972,3008232.18558843,17,"R","2019-12-10","15:50:00",15
"197",-81.3539967534012,27.1969310586682,"61526633",2019-12-10 16:00:00,-1039238.51519679,-6724183.97940612,-2.23521282294524,29,464943.758665968,3008343.75868568,"61526633 2019-12-10 16:00:00",29,464939.402874143,3008296.97753164,17,"R","2019-12-10","16:00:00",16
"198",-81.3544052413037,27.1968846712497,"61526633",2019-12-10 16:10:00,-1391054.3364396,-9001306.0749946,-2.99216506017395,29,464943.758665968,3008343.75868568,"61526633 2019-12-10 16:10:00",29,464898.930528496,3008291.95381063,17,"R","2019-12-10","16:10:00",16
"199",-81.3542239979388,27.1969054641042,"61526633",2019-12-10 16:40:00,-1004819.64461224,-6501792.45740064,-2.16128876094556,27,464966.259278567,3008322.55559499,"61526633 2019-12-10 16:40:00",27,464916.887909338,3008294.20616434,17,"R","2019-12-10","16:40:00",16
"200",-81.3535910662052,27.1961935323717,"61526633",2019-12-10 16:50:00,-1067977.78796452,-6909354.07426678,-2.29682841042186,28,464940.321437111,3008322.82151443,"61526633 2019-12-10 16:50:00",28,464979.352884424,3008215.17311245,17,"R","2019-12-10","16:50:00",16
"201",-81.3534279453893,27.1966654097901,"61526633",2019-12-10 17:00:00,-626619.16413421,-4053883.03009358,-1.34758068305034,14,464954.285687094,3008230.00006433,"61526633 2019-12-10 17:00:00",14,464995.656301495,3008267.39436287,17,"R","2019-12-10","17:00:00",17
"202",-81.3534318166775,27.1961943487268,"61526633",2019-12-10 17:10:00,-853724.259790731,-5523039.20799393,-1.83598539526216,14,464954.285687094,3008230.00006433,"61526633 2019-12-10 17:10:00",14,464995.125774858,3008215.21905696,17,"R","2019-12-10","17:10:00",17
"203",-81.3555556041212,27.1987497440303,"61526633",2019-12-10 18:50:00,-893002.278115965,-5780291.90925413,-1.92132095806111,9,464817.777892806,3008530.00003972,"61526633 2019-12-10 18:50:00",9,464785.581174909,3008498.85855994,17,"R","2019-12-10","18:50:00",18
"204",-81.3554966875908,27.1989357529523,"61526633",2019-12-10 19:00:00,-381333.732487765,-2468311.0846425,-0.820440462408972,12,464823.333360367,3008430.00003452,"61526633 2019-12-10 19:00:00",12,464791.474774532,3008519.44502476,17,"R","2019-12-10","19:00:00",19
"205",-81.3552212226677,27.1988901065367,"61526633",2019-12-10 19:10:00,-832979.130034333,-5391412.61596069,-1.79205151026112,15,464800.000022405,3008463.33337438,"61526633 2019-12-10 19:10:00",15,464818.742801071,3008514.31172038,17,"R","2019-12-10","19:10:00",19
"206",-81.3556023708152,27.1988161468642,"61526633",2019-12-10 19:20:00,-137003.945385605,-886820.350226109,-0.294770987126886,9,464817.777892806,3008530.00003972,"61526633 2019-12-10 19:20:00",9,464780.970206645,3008506.22671481,17,"R","2019-12-10","19:20:00",19
"207",-81.3551201732616,27.1985511457782,"61526633",2019-12-10 19:30:00,-910310.151493712,-5891734.40233001,-1.95837791472162,22,464858.272774752,3008475.63645511,"61526633 2019-12-10 19:30:00",22,464828.644487197,3008476.73885636,17,"R","2019-12-10","19:30:00",19
"208",-81.354911446673,27.1982557286398,"61526633",2019-12-10 19:40:00,-453345.450144889,-2933993.02201616,-0.975252676183233,23,464883.478290053,3008443.04356354,"61526633 2019-12-10 19:40:00",23,464849.224427776,3008443.95885043,17,"R","2019-12-10","19:40:00",19
"209",-81.3551938804856,27.1979143462167,"61526633",2019-12-10 19:50:00,-1844563.21330015,-11938345.5743237,-3.96832896892211,26,464870.846190046,3008445.53856574,"61526633 2019-12-10 19:50:00",26,464821.144553744,3008406.22534538,17,"R","2019-12-10","19:50:00",19
"210",-81.355648071137,27.198467660715,"61526633",2019-12-10 20:00:00,-1098415.15127904,-7109971.38358864,-2.3633198805594,27,464869.703732059,3008426.44456479,"61526633 2019-12-10 20:00:00",27,464776.334475314,3008467.63998181,17,"R","2019-12-10","20:00:00",20
"211",-81.3553128919428,27.1982185269249,"61526633",2019-12-10 20:10:00,-1752750.82096334,-11344531.7444281,-3.77090183936252,25,464832.080033867,3008458.16012746,"61526633 2019-12-10 20:10:00",25,464809.452918469,3008439.95089141,17,"R","2019-12-10","20:10:00",20
